ser,country,q101,q102,q103,q2011,q2012,q2013,q2014,q2015,q202,q204,q205,q206,q207,q210,q211,q212,q2131,q2132,q2133,q2134,q2135,q214,q215,q216,q217,q219,q221,q222,q224,q2251,q2252,q226,q227,q228,q2301,q2302,q2311,q2312,q2321,q2322,q2323,q2324,q234,q235,q236,q237,q238,q239,q240,q241,q242,q243,q244,q2451,q2452,q2453,q2454,q2461,q2462,q2463,q2464,q2471,q2472,q2473,q2474,q2475,q2476,q248withoutpalestine,q248donlypalestine,q249withoutpalestine,q249onlypalestine,q2501,q2502,q2511,q2512,q2513,q2514,q252,q253,q254,q2551,q2552,q2553,q2554,q2561,q2562,q2563,q2564,q2565,q2571,q2572,q301,q3021,q3022,q3031,q3032,q3033,q304,q305,q306,q4011,q4012,q4013,q4014,q4021,q4022,q4023,q501,q5021,q5022,q5023,q5024,q5025,q5026,q503,q5041,q5042,q5043,q5044,q5045,q5046,q5051,q5052,q5053,q5054,q5055,q5056,q5057,q5061,q5062,q5063,q5071,q5072,q5073,q5074,q5075,q601,q602,q6031,q6032,q6033,q6034,q6035,q604,q605,q606,q607,q608,q609,q610,q611,q612,q6131,q6132,q6133,q701,q701agecategories,q702,q703,q703dichotomous,q704,q705,q706,q707,q708,q709,q710,q711,q712,q713,q714,q714a,q715withoutmorocco,q716withoutmorocco,V715onlymorocco,V716onlymorocco,q715incomedeciles,q716incomedeciles,q717
1111,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,4,4,1,1,1,5,5,1,1,2, ,1,3,3,3,4,1,1,1,1,1,98,98,98,98,98,98,98,10,10,10,1,3,1,1,1,2,2,1,1,1,1,1,1,1,1,100,5,100,2, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,98,98,1,4,1,2,2,2,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,3,1,3,1,3,1,1,3,3,1,1,1,3,3,3,2,2,2,2,2,3,1,1,1,1,1,1,98,98,98,98,98,98,2,2, ,2,2,2,22,1,2,5,1,2,2, , , ,1, ,1,1,1,2,1,9999999,200,100,100, ,4,1
1132,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,4,4,1,1,1,5,5,4,1,2, ,1,3,3,3,1,4,4,4,2,4,8,6,3,9,6,5,9,9,9,9,1,3,1,1,98,3,1,98,2,3,2,2,3,2,1,100,5,100,4,2,1,3,2,3,2,2,2,1,1,1,1,2,3,1,1,1,1,1,1,5,6,2,2,2,4,5,1,3,2,3,2,1,1,1,3,3,3,2,2,2,2, ,4,3,2,2,2,2,3,2,2,1,2,2,2,2,1,2,2,1,2,2,1,98,98,1,1,2,2,1,3,4,4,1,1,1,2,1, ,97,97,97,25,2,2,2,1,2,2, , , ,2,11,1,4,1,2,97,9999999,70,100,100, ,1,99
846,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,1,2,2,3,3,2,3,3,1,5,3,2,2,2, ,1,1,1,2,1,1,1,2,2,4,7,7,98,8,10,9,9,8,8,8,98,98,98,98,1,2,1,2,1,1,1,2,2,2,3,100,4,100,1,3,1,2,2,2,3,3,3,1,1,1,1,1,1,1,1,2,98,99,2,4,6,2,2,2,2,5,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,3,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2,3,3,3,2,3,3,1,1,1,2,2,98,99,99,99,99,99,99,2, ,1,2,1,65,6,2,4,1,2,2, , , ,2,3,1,2,1,2,1,9999997,1000,100,100, ,10,2
774,1,1,1,1,1,1,1,1,2,2,2,2,3,1,2,1,2,1,2,2,2,2,1,4,2,1,2,2,5,5,3,1,1,4,1,3,3,3,4,3,3,3,2,4,8,9,10,10,10,7,9,8,8,7,2,4,2,1,3,4,3,2,2,3,3,2,2,2,1,100,4,100,4,2,2,1,2,3,1,2,1,1,1,2,1,2,3,1,1,2,98,98,3,4,3,2,2,2,2,5,1,3,3,2,2,3,2,3,4,4,1,4,1,2,1,6,3,3,1,2,3,2,1,1,1,3,2,1,4,2,3,3,3,3,3,2,2,3,3,1,1,1,1,1,1,4,4,1,1,2,2,2, ,3,3,3,26,2,2,5,1,1, ,1,3,2,2,4,1,3,1,2,1,85,400,100,100,1,8,2
259,1,1,1,1,1,1,1,1,3,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,3,4,5,2,1,2, ,1,1,3,3,4,2,3,4,4,1,1,5,10,98,8,98,5,6,6,6,2,3,3,4,3,2,2,1,2,4,4,2,1,4,1,100,2,100,2,1,2,3,1,3,3,2,2,1,1,1,1,2,4,3,2,2,1,1,2,1,2,1,1,1,4,3,3,2,3,2,1,2,2,2,2,2,2,1,1,2,2,4,3,4,2,3,2,3,2,1,4,4,3,3,4,1,1,1,2,1,2,2,3,1,1,1,1,3,3,3,3,2,2,2,1,3,98,3,2,2,3,2,24,1,2,5,1,2,2, , , ,2,12,1,2,1,2,1,9999999,180,100,100, ,3,1
416,1,1,1,1,1,1,1,1,3,2,1,2,98,2,2,98,98,2,2,4,5,5,2,4,3,3,3,3,5,5,1,1,2, ,1,3,3,4,3,3,2,3,2,98,98,98,95,98,98,98,98,5,8,5,98,3,2,98,98,98,98,98,3,3,3,2,2,2,1,100,5,100,4,2,98,1,3,3,2,98,98,1,2,2,2,1,4,4,4,98,98,1,2,6,5,2,2,2,2,5,1,2,3,3,3,3,2,2,4,4,4,2,1,2,1,4,3,3,1,3,3,3,1,1,1,3,3,1,4,3,3,1,3,4,4,2,1,1,4,1,1,3,3,3,2,3,3,1,1,3,2,2, ,3,2,1,20,1,1,4,1,2,3, , , ,1, ,1,3,2, ,3,400,400,100,100,9,8,1
511,1,1,1,1,1,1,1,1,98,2,2,1,3,1,2,1,98,1,1,1,1,1,2,3,4,1,3,98,5,5,98,98,2, ,1,98,98,1,2,98,98,98,98,98,98,98,98,98,98,98,98,98,98,10,98,98,98,98,98,98,98,98,1,98,3,1,1,1,1,100,2,100,2,2,3,98,98,98,98,1,98,98,98,98,98,1,4,1,1,1,98,98,2,6,4,2,2,2,98,5,1,98,98,98,98,1,1,1,4,1,1,4,4,4,1,1,98,98,1,4,2,4,4,3,1,1,1,1,4,3,1,1,1,1,1,1,97,98,98,1,1,3,3,3,98,98,98,98,98,98,98,1, ,98,98,98,43,3,2,1,0,2,2, , , ,2,14,1,3,1,2,1,9999999,170,100,100, ,3,1
848,1,1,1,1,1,1,1,1,98,2,2,2,4,2,1,1,2,1,1,1,1,1,2,4,2,1,2,1,5,4,3,2,2, ,1,3,3,1,2,2,2,3,2,2,8,8,95,6,10,10,10,8,10,10,2,3,2,3,3,4,4,4,2,2,2,2,2,2,5,100,4,100,4,1,2,2,2,2,2,3,3,2,2,1,1,2,2,1,1,1,98,98,2,6,5,2,2,2,2,5,2,98,98,98,98,3,3,4,4,2,2,2,2,2,2, ,2,2,3,2,2,2,1,1,1,3,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,98,98,98,2,2,4,2,2,3,2,3,98,2,2,2,42,3,2,6,1,2,2, , , ,2,3,1,4,2, ,3,9999997,900,100,100, ,10,2
600,1,1,1,1,1,1,2,1,1,2,1,2,3,2,2,1,98,1,1,1,2,2,2,3,2,1,2,1,5,5,3,1,2, ,1,98,2,4,3,4,3,3,4,1,8,9,6,10,5,4,3,10,10,10,2,3,2,2,1,2,4,4,2,1,1,1,1,1,1,100,5,100,2,1,3,1,2,4,1,1,1,1,2,2,1,2,2,1,1,1,2,98,1,6,4,1,2,2,1,5,1,4,3,3,1,1,1,1,2,1,1,1,1,1,1,1,4,4,3,1,4,1,1,3,1,1,2,2,4,1,1,1,2,3,1,1,3,2,1,1,1,1,3,3,4,1,2,1,1,3,2,1, ,1,2,1,19,1,1,4,1,2,4, , , ,1, ,1,3,1,3,1,9999999,160,100,100, ,3,1
656,1,1,1,1,1,1,2,3,2,2,2,1,1,2,2,4,2,2,2,3,4,2,3,3,2,1,4,1,1,5,2,2,1,2,1,2,3,1,2,2,3,1,1,1,6,6,5,9,1,7,2,10,7,7,1,2,3,4,2,3,4,1,3,1,2,1,1,1,4,100,5,100,2, ,1,3,1,2,3,2,4,2,1,1,1,1,4,4,4,4,98,98,2,1,4,2,2,2,1,5,2,2,3,2,2,1,1,4,3,4,4,4,1,4,1,6,2,3,2,2,2,2,1,4,1,4,1,4,1,2,1,1,2,3,1,1,2,2,2,2,2,2,2,2,1,2,3,1,1,2,1,4,3,2,1,1,25,2,2,4,1,2,2, , , ,2,8,1,3,2, ,1,140,140,100,100,3,2,1
