p10st,Most important problem: 2004-2006
p11st,How long do you think it will take (country) to be developed country?
p12n,A person who is born poor and works hard can become rich
p13st.a,Scale poor-rich in the present
p13st.b,Scale poor-rich in the past
p13st.c,Scale poor-rich in the future
p15st,Government/People should take responsibility for their welfare
p16n,Scale state V/S private enterprise has to create wealth
p18st,Scale of democracy development
p19st,Confidence in democracy as a government system with which (country)
p1st.a,Satisfaction with life
p20stm,Country governed for the benefit of the powerful
p21st,Satisfaction with democracy
p22na.c,Democracy gives conditions to proper
p22na.d,Do the right thing no matter what
p22na.f,Natural resources explotation
p22na.g,If people really want a job
p22st.a,Democracy may have problems but it is still the best form of
p22st.b,The government seeks the welfare of the people
p23n,How do you think breaking the law is viewed in (country)?
p24st.a,Confidence in the judiciary
p24st.b,Confidence in president
p24st.c,Confidence in political parties
p24st.d,Confidence in police
p24st.e,Confidence in neighbors
p24st.f,Confidence in National Congress / Parliament
p25st,Without political parties there can be no democracy
p26st,Without a National Congress there can be no Democracy
p27n,Privilege / discrimination
p28nf,Questioning the leaders /authority
p29nf,Respect of Legality
p30st,Order v/s freedom
p31stm,Satisfaction with the functioning of the market economy in (country)
p32st.a,Confidence in the government
p32st.b,Confidence in private enterprises
p32st.c,Confidence in newspapers
p32st.d,Confidence in church
p32st.e,Confidence in the armed forces
p33st,Progress on reducing corruption in state institutions (2 years)
p34n.a,Evaluation: Parliament /congress
p34n.b,Evaluation: Political parties
p34n.c,Evaluation: Judiciary
p34n.d,Evaluation: Businessmen
p35st.a,Confidence in firemen
p35st.b,Confidence in radios
p35st.c,Confidence in television
p35st.d,Confidence in National Electoral Commission
p36st.1,Who has the most power?: First mention
p36st.2,Who has the most power?: Second mention
p36st.3,Who has the most power?: Third mention
p37st.ab,Frequency that you try to convince politically
p37st.ac,Frequency that you work for a political party or candidate
p37st.ba,Political action: Signing a petition
p37st.bb,Political action: Taking part in authorized demonstrations
p38st,For which party would you vote this Sunday?
p39st,Clean or rigged elections
